date,ensemble,dji
2022-07-25,929031.7822934036,874401.744650069
2022-07-26,928812.9079271888,868156.0255291206
2022-07-27,935423.1954446523,880074.8469827644
2022-07-28,948471.6533898048,889150.7109662574
2022-07-29,957087.5462908744,897774.3966729929
2022-08-01,956130.4691034622,896497.0864664163
2022-08-02,953894.3918529432,885502.7480374022
2022-08-03,957522.2201199072,896882.5324118934
2022-08-04,956439.4347635992,894540.6012849978
2022-08-05,956282.869731266,896635.6761720199
2022-08-08,957935.2427906952,897430.2713870449
2022-08-09,953523.4774949,895841.4012721851
2022-08-10,963442.6664017182,910467.6334846823
2022-08-11,962448.451038334,911210.0173237132
2022-08-12,979683.2955990524,922809.8048479704
2022-08-15,981686.7224600678,926947.8500177509
2022-08-16,986576.628709072,933496.1602216582
2022-08-17,978737.5655824548,928803.2223708129
2022-08-18,976977.4710739251,929314.8725012079
2022-08-19,973125.7805121422,921325.2507133685
2022-08-22,958003.4596360512,903746.2463063655
2022-08-23,954633.2073051644,899536.3437622621
2022-08-24,954970.6032520029,901166.5345366508
2022-08-25,968387.3629241068,909982.9966019897
2022-08-26,936321.1549977456,882420.3549626165
2022-08-29,933973.8047598152,877379.7683587316
2022-08-30,920854.5474894372,868957.7210641939
2022-08-31,912558.8073834308,861292.3116346485
2022-09-01,912253.9834280472,865282.7448876362
2022-09-02,900630.5267053625,856044.5344886034
2022-09-06,898846.6557413618,851312.037711775
2022-09-07,910397.3051925946,863228.8838884128
2022-09-08,917937.474365822,868510.8279880736
2022-09-09,928232.3381808244,878820.8130133385
2022-09-12,938967.3242184106,885097.389164271
2022-09-13,899350.7754459917,850209.6729848838
2022-09-14,897152.4066929475,851032.9364094269
2022-09-15,902711.446753254,846296.8627796419
2022-09-16,893231.0432808362,842486.5534352469
2022-09-19,901068.58979867,847878.3656451281
2022-09-20,891079.3215244848,839310.6817108035
2022-09-21,870604.35600239,825030.2297460701
2022-09-22,869199.384803816,822102.8158374507
2022-09-23,853592.8799581701,808811.3370222966
2022-09-26,843458.0965915434,799802.2053700841
2022-09-27,841945.8835569974,796363.0879452047
2022-09-28,858811.5657844717,811362.3805824933
2022-09-29,842439.4488143045,798840.0319247473
2022-09-30,820528.4826922686,785170.5277993546
2022-10-03,843940.0294385778,806091.1136558373
2022-10-04,868237.4556413519,828653.047932499
2022-10-05,871093.8831750319,827492.706156191
2022-10-06,862553.9551003476,818009.881723616
2022-10-07,845009.6835638334,800785.6263897007
2022-10-10,846207.9767889215,798218.780613457
2022-10-11,857108.2916725256,799211.2238442628
2022-10-12,854955.4724709722,798436.5949427569
2022-10-13,875961.0550100958,821065.2615506992
2022-10-14,867649.8620897314,810025.4917505492
2022-10-17,878382.4004918234,825086.0179750208
2022-10-18,886127.0102817824,834324.2283740534
2022-10-19,886404.8147295896,831591.1390141231
2022-10-20,885634.4662798826,829125.0857510457
2022-10-21,902460.227104086,849597.1235695925
2022-10-24,916298.8803919737,860996.8208717378
2022-10-25,924501.2121962492,870211.5414901597
2022-10-26,917206.6681479398,870276.2985444344
2022-10-27,934653.4508665984,875583.6543158469
2022-10-28,960166.2569807952,898230.0984168422
2022-10-31,953769.7564314788,894708.1261294447
2022-11-01,955737.65762319,892528.2744887637
2022-11-02,952024.721347708,878712.8134083939
2022-11-03,964798.0546873992,874708.1795153097
2022-11-04,975920.4616850796,885695.4710101407
2022-11-07,993654.6612395232,897278.8690738353
2022-11-08,1013889.8781699124,906403.5811238257
2022-11-09,1002507.4508856718,888721.8089266506
2022-11-10,1021545.0030211392,921561.216236777
2022-11-11,1015676.5539549772,922449.2367155949
2022-11-14,1007426.973174948,916677.4773043342
2022-11-15,1014855.816192526,918214.2428149299
2022-11-16,1016908.4123038236,917145.6713405991
2022-11-17,1020166.4325751248,916940.4560754449
2022-11-18,1023307.0582350676,922389.9784054176
2022-11-21,1025627.184085745,921148.7570435975
2022-11-22,1028871.450378317,932022.6035752513
2022-11-23,1027369.5749587005,934645.451123906
2022-11-25,1034499.0965384428,938826.7388443562
2022-11-28,1019606.0982207244,925226.3694141703
2022-11-29,1022793.429309744,925310.2919939887
2022-11-30,1035496.3350066128,945461.6409213332
2022-12-01,1031625.8209532682,940138.2160045485
2022-12-02,1039815.2033308928,941091.2604669661
2022-12-05,1034849.9475706998,927895.2355784759
2022-12-06,1020930.587337393,918307.6680787228
2022-12-07,1019111.4245108548,918350.9106293927
2022-12-08,1025636.6760176604,923368.2209961268
2022-12-09,1013125.6969565336,915030.950455248
2022-12-12,1029141.7587851468,929478.8738785632
2022-12-13,1025864.5863226836,932310.6737029237
2022-12-14,1024884.129032034,928421.4066641575
2022-12-15,1008240.0918082182,907534.9343754255
2022-12-16,1001602.1156310026,899833.4894869885
2022-12-19,1001264.328338522,895380.2541701033
2022-12-20,1007905.7038840238,897900.3873144508
2022-12-21,1022390.7224158233,912298.1280246429
2022-12-22,1006440.4536742156,902758.928118602
2022-12-23,1011090.1587103788,907581.7003931869
2022-12-27,1011855.2356833402,908610.2324687493
2022-12-28,1002294.071006674,898610.3125475467
2022-12-29,1007737.3719061796,908042.8474952687
2022-12-30,1006690.7641180936,906032.4425901753
2023-01-03,1012381.0984534208,
