date,ensemble,dji
2022-03-23,918858.360240975,939140.2206437801
2022-03-24,928602.8657291648,948691.6992987766
2022-03-25,934438.0100340048,952881.849072821
2022-03-28,935572.8700839469,955469.0348636392
2022-03-29,944693.7122223746,964716.0005445358
2022-03-30,945746.8801547248,962928.855326975
2022-03-31,933019.5257181174,947882.9034436552
2022-04-01,937356.8301358382,951707.3600422817
2022-04-04,937802.428802983,954539.3734101022
2022-04-05,929614.1416278388,946866.8636605087
2022-04-06,929903.0302059752,942912.5726381426
2022-04-07,932231.8777841192,945292.1941857454
2022-04-08,935361.1759864548,949051.947115962
2022-04-11,926848.5115579116,937762.0111523072
2022-04-12,925699.5463385629,935364.345182326
2022-04-13,935303.1847800682,944773.3903494372
2022-04-14,933215.5078439948,941674.8747434141
2022-04-18,927699.370819062,940594.1312918579
2022-04-19,939060.3605367364,954247.4595001481
2022-04-20,947381.840084748,961069.6391916312
2022-04-21,941661.0749211396,951010.1406450614
2022-04-22,920257.914862851,924185.9856765724
2022-04-25,927028.1976023836,930693.0819926808
2022-04-26,908673.5581974,908572.5420480419
2022-04-27,903930.866678994,910260.389556657
2022-04-28,908921.3735514611,927055.7962368303
2022-04-29,885938.1663842516,901384.669181141
2022-05-02,887066.104770093,903688.589572139
2022-05-03,889877.44950945,905527.8393939637
2022-05-04,913797.7850425158,931010.0872591964
2022-05-05,889104.6716831179,901952.0541546214
2022-05-06,886489.2139304933,899257.0289164537
2022-05-09,871219.7572300272,881389.8476100483
2022-05-10,866630.4882114764,879067.6158673469
2022-05-11,858434.5493943759,870139.6307299716
2022-05-12,856920.90679313,867302.1720039186
2022-05-13,868515.6412355738,880049.4353110127
2022-05-16,870953.871737817,880780.8750477136
2022-05-17,880841.6907931224,892566.2852246611
2022-05-18,879960.8569657375,860735.817377633
2022-05-19,879134.0351563845,854259.4179339136
2022-05-20,878992.9620627222,854499.1204678736
2022-05-23,881861.7137241067,871400.5514759857
2022-05-24,880935.5702176484,872722.919352643
2022-05-25,882526.2107590302,877961.6742874989
2022-05-26,889854.6759646423,892090.6705531576
2022-05-27,898408.4761957291,907828.5566330603
2022-05-31,895435.4191376732,901737.549748953
2022-06-01,888943.0160283553,896902.4987254125
2022-06-02,900666.9393968934,908793.9866161636
2022-06-03,889914.3547862977,899265.9977417779
2022-06-06,890340.5351860436,899705.5769543898
2022-06-07,895549.2325839624,906931.4605571884
2022-06-08,886915.6410378886,899572.1122918285
2022-06-09,868702.6697278987,882130.3095579384
2022-06-10,841687.7500417032,858076.7742124917
2022-06-13,823483.3143129015,834131.2384719898
2022-06-14,818916.9431723261,829978.9926621128
2022-06-15,826828.9985552721,838280.1743582352
2022-06-16,810486.396082879,818013.4585765727
2022-06-17,810624.4901799212,816966.8286927671
2022-06-21,823743.9228365374,834500.5085003644
2022-06-22,825159.9523586169,833212.5745066479
2022-06-23,832847.8562226344,838521.531854011
2022-06-24,849966.2716462489,861025.8093964461
2022-06-27,846212.8135324374,859319.6505361276
2022-06-28,833244.2471984607,845891.5039065107
2022-06-29,834651.6666195575,848141.611345564
2022-06-30,828701.1948764011,841202.142908622
2022-07-01,836869.423853513,849998.905589767
2022-07-05,837353.5392730382,846460.8641569972
2022-07-06,836767.7712524083,848370.369777194
2022-07-07,848770.5261607944,857851.5926338184
2022-07-08,847035.0727055485,856583.304638431
2022-07-11,841039.6382303631,852092.1119715134
2022-07-12,840772.4030222027,846830.1341853718
2022-07-13,838898.1614897854,841129.965219109
2022-07-14,837009.1555758793,837231.6759691536
2022-07-15,849932.8567846386,855219.6161022446
2022-07-18,840685.17431096,849325.1225872926
2022-07-19,861894.4102251675,869946.694213773
2022-07-20,867551.5042546322,871252.9395591929
2022-07-21,871515.9866767667,875682.6317096023
2022-07-22,864336.3651532833,871921.2238175699
2022-07-25,868142.0477628415,874401.744650069
2022-07-26,862796.3091115658,868156.0255291206
2022-07-27,875040.7510556881,880074.8469827644
2022-07-28,878888.1652631466,889150.7109662574
2022-07-29,893473.4171018307,897774.3966729929
2022-08-01,892579.9512281925,896497.0864664163
2022-08-02,888484.600192502,885502.7480374022
2022-08-03,892565.658320096,896882.5324118934
2022-08-04,891699.3850782898,894540.6012849978
2022-08-05,896715.4158182647,896635.6761720199
2022-08-08,898282.1072278259,897430.2713870449
2022-08-09,894029.5037822655,895841.4012721851
2022-08-10,913252.3877471857,910467.6334846823
2022-08-11,921152.5932117546,911210.0173237132
2022-08-12,933223.210106698,922809.8048479704
2022-08-15,937013.9689848718,926947.8500177509
2022-08-16,949235.43068937,933496.1602216582
2022-08-17,942085.4226746912,928803.2223708129
2022-08-18,941439.071150338,929314.8725012079
2022-08-19,927806.940115487,921325.2507133685
2022-08-22,907607.5996346824,903746.2463063655
2022-08-23,907378.4312768334,899536.3437622621
2022-08-24,909887.8698678368,901166.5345366508
2022-08-25,922603.551695382,909982.9966019897
2022-08-26,895087.1347375268,882420.3549626165
2022-08-29,892452.5459351891,877379.7683587316
2022-08-30,880573.4060197228,868957.7210641939
2022-08-31,871028.4548402184,861292.3116346485
2022-09-01,870868.4359116906,865282.7448876362
2022-09-02,865287.9138703698,856044.5344886034
2022-09-06,862352.9031091088,851312.037711775
2022-09-07,874771.1166215295,863228.8838884128
2022-09-08,879889.6621728295,868510.8279880736
2022-09-09,891817.0395417565,878820.8130133385
2022-09-12,900499.6803155297,885097.389164271
2022-09-13,858866.5472627038,850209.6729848838
2022-09-14,862433.7494378441,851032.9364094269
2022-09-15,853090.8474336022,846296.8627796419
2022-09-16,844794.0817628258,842486.5534352469
2022-09-19,854030.1047959679,847878.3656451281
2022-09-20,843371.6524720544,839310.6817108035
2022-09-21,825791.1235261315,825030.2297460701
2022-09-22,818059.7838731164,822102.8158374507
2022-09-23,801164.861750161,808811.3370222966
2022-09-26,787805.3751473778,799802.2053700841
2022-09-27,786706.7014947289,796363.0879452047
2022-09-28,807623.4868340844,811362.3805824933
2022-09-29,792322.5374093407,798840.0319247473
2022-09-30,775149.6884484643,785170.5277993546
2022-10-03,800752.686461007,806091.1136558373
2022-10-04,827608.9126839989,828653.047932499
2022-10-05,826444.9114535073,827492.706156191
2022-10-06,821783.3064135484,818009.881723616
2022-10-07,807491.9263946733,800785.6263897007
2022-10-10,809165.9385724649,798218.780613457
2022-10-11,815189.4026810921,799211.2238442628
2022-10-12,813979.4059337319,798436.5949427569
2022-10-13,834094.5072688531,821065.2615506992
2022-10-14,825300.1831279801,810025.4917505492
2022-10-17,839598.8455196427,825086.0179750208
2022-10-18,851524.02561913,834324.2283740534
2022-10-19,850389.5820804642,831591.1390141231
2022-10-20,847918.4967189835,829125.0857510457
2022-10-21,873656.0954700516,849597.1235695925
2022-10-24,884002.6997180985,860996.8208717378
2022-10-25,894999.5193821,870211.5414901597
2022-10-26,887882.9247203873,870276.2985444344
2022-10-27,913299.7822071122,875583.6543158469
2022-10-28,937212.948642354,898230.0984168422
2022-10-31,929904.10998116,894708.1261294447
2022-11-01,933765.1762538956,892528.2744887637
2022-11-02,925129.9884944962,878712.8134083939
2022-11-03,936700.2677913712,874708.1795153097
2022-11-04,951254.3060146378,885695.4710101407
2022-11-07,966255.6264949844,897278.8690738353
2022-11-08,983348.8315769242,906403.5811238257
2022-11-09,970587.7290531204,888721.8089266506
2022-11-10,999451.5671802568,921561.216236777
2022-11-11,999058.2130580948,922449.2367155949
2022-11-14,992237.6715427444,916677.4773043342
2022-11-15,996285.2330966996,918214.2428149299
2022-11-16,992477.6709323928,917145.6713405991
2022-11-17,990659.9500461624,916940.4560754449
2022-11-18,994605.3712688492,922389.9784054176
2022-11-21,994420.3003574418,921148.7570435975
2022-11-22,1002428.3869892168,932022.6035752513
2022-11-23,1004498.9255291031,934645.451123906
2022-11-25,1009124.341041188,938826.7388443562
2022-11-28,996046.1954875992,925226.3694141703
2022-11-29,1001256.4721447036,925310.2919939887
2022-11-30,1015429.633369069,945461.6409213332
2022-12-01,1005430.1150623368,940138.2160045485
2022-12-02,1010621.266875844,941091.2604669661
2022-12-05,999370.4629207656,927895.2355784759
2022-12-06,985080.2552867936,918307.6680787228
2022-12-07,982266.4166065262,918350.9106293927
2022-12-08,988958.4399524736,923368.2209961268
2022-12-09,978826.1353641556,915030.950455248
2022-12-12,996959.8816257524,929478.8738785632
2022-12-13,997883.170302968,932310.6737029237
2022-12-14,995205.8861309098,928421.4066641575
2022-12-15,976655.8942829178,907534.9343754255
2022-12-16,973963.4150157976,899833.4894869885
2022-12-19,973801.323981862,895380.2541701033
2022-12-20,980246.711833577,897900.3873144508
2022-12-21,998841.2551456498,912298.1280246429
2022-12-22,982197.3269382524,902758.928118602
2022-12-23,986128.06102715,907581.7003931869
2022-12-27,989476.4123073624,908610.2324687493
2022-12-28,980118.6538768816,898610.3125475467
2022-12-29,986061.7115779924,908042.8474952687
2022-12-30,985758.334956746,906032.4425901753
2023-01-03,992859.2551647231,
